Title: Primitive mantle composition from McDonough & Sun (1995),

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O Mg#
9649.39 1606.42 20.803464 58.580690 -250832.932110 7.537766 32.489694 1.511 49.5908 0.775313 15.3401 0.848616 0.096854 6.5855 12.7096 11.7544 1.67399 0.1394 0.100945 0.384551 77.4
9356.70 1606.11 22.305702 62.728774 -269390.274394 8.091656 34.815821 1.543 49.9054 0.755479 15.1438 0.84961 0.10242 6.4974 12.6748 11.9114 1.5768 0.130012 0.0941463 0.358653 77.6
9064.04 1605.81 23.829859 66.938876 -288256.194465 8.656332 37.173033 1.575 50.2441 0.7349 14.9193 0.850819 0.10817 6.408 12.641 12.0594 1.48868 0.121696 0.0881247 0.335713 77.8
8771.39 1605.51 24.957184 70.076552 -302380.023385 9.082106 38.919005 1.608 50.6249 0.7178 14.7399 0.849614 0.113742 6.34589 12.6754 11.9842 1.42765 0.116199 0.0841441 0.320549 78.0
8478.75 1605.21 25.803236 72.456730 -313146.382092 9.409461 40.233246 1.640 51.0346 0.703612 14.5973 0.846536 0.119275 6.30392 12.7622 11.7454 1.38327 0.112389 0.0813851 0.310039 78.3
8186.14 1604.91 26.676185 74.914466 -324267.475431 9.748450 41.588638 1.673 51.456 0.689401 14.4392 0.843626 0.124856 6.26129 12.8514 11.5068 1.34016 0.108711 0.0787219 0.299893 78.5
7893.54 1604.60 27.575477 77.447996 -335737.526236 10.098971 42.984173 1.706 51.8887 0.675141 14.2652 0.840915 0.13041 6.21795 12.9423 11.2696 1.29836 0.105166 0.0761546 0.290113 78.7
7600.96 1604.30 28.505677 80.070761 -347610.983298 10.462781 44.427069 1.738 52.3328 0.660724 14.0743 0.838444 0.135895 6.17434 13.0365 11.0333 1.25768 0.101734 0.0736695 0.280646 79.0
7308.40 1604.00 29.467207 82.783753 -359894.175126 10.840141 45.917898 1.771 52.7878 0.64613 13.8665 0.836231 0.141235 6.13044 13.1334 10.799 1.21812 0.0984145 0.0712657 0.271488 79.2
7015.85 1603.70 30.462868 85.594916 -372621.987478 11.232180 47.461052 1.803 53.2532 0.631317 13.6418 0.834293 0.146371 6.08641 13.2337 10.5666 1.17959 0.0951979 0.0689364 0.262615 79.4
6723.33 1603.40 31.496286 88.514520 -385839.731558 11.640338 49.062252 1.835 53.7287 0.616245 13.4002 0.832635 0.151252 6.0424 13.3377 10.3361 1.14201 0.0920743 0.0666745 0.253998 79.7
6430.81 1603.09 32.559796 91.520746 -399450.595331 12.061674 50.709916 1.865 54.2072 0.601051 13.1451 0.831421 0.155823 5.99938 13.4456 10.1096 1.10566 0.0890669 0.0644967 0.245702 79.9
6138.32 1602.79 32.688179 91.898835 -401152.766226 12.118186 50.931156 1.854 54.1365 0.598667 13.105 0.846047 0.159894 6.04708 13.5432 10.0646 1.10132 0.0887171 0.0642434 0.244737 79.9
